Txhash,Blockno,UnixTimestamp,DateTime,From,To,ContractAddress,Value_IN(BNB),Value_OUT(BNB),CurrentValue @ $447.64/BNB,TxnFee(BNB),TxnFee(USD),Historical $Price/BNB,Status,ErrCode,Method,,
0x8d3f5862ed9ef93f43113fa399ce59992265d64a2106aa159922daef1728ed8a,16458956,1648490037,28-03-2022 17:53,0xf9dc8bb8aa72bf1ff3b466c7a732642b6320d7a4,0x0eb16919ef15de9ec1d9e4371aa1fb7da4bed75f,,0,0,0,0.001330645,0.595649928,430.15,,,Configure Presale,,
0xc389cf3cae178be98f416bcbb75cfe6344ec3150637afea009194f730508389b,16459220,1648490829,28-03-2022 18:07,0xf9dc8bb8aa72bf1ff3b466c7a732642b6320d7a4,0x0eb16919ef15de9ec1d9e4371aa1fb7da4bed75f,,0,0,0,0.005724265,2.562409985,430.15,,,Add To Whitelist,,
0x28181bf2631d63a40a3df51588c27914c27b1191e51a84088a406c4a9381e6f8,16459254,1648490931,28-03-2022 18:08,0xf9dc8bb8aa72bf1ff3b466c7a732642b6320d7a4,0x0eb16919ef15de9ec1d9e4371aa1fb7da4bed75f,,0,0,0,0.005724145,2.562356268,430.15,,,Add To Whitelist,,
0x3dc10655d8a70431d502fbb25cd68065597fc3b1a40bd0fafd697f725f0c91a7,16459278,1648491003,28-03-2022 18:10,0xf9dc8bb8aa72bf1ff3b466c7a732642b6320d7a4,0x0eb16919ef15de9ec1d9e4371aa1fb7da4bed75f,,0,0,0,0.005724145,2.562356268,430.15,,,Add To Whitelist,,
0x603a75269c7717859eae4655bb150bd66cc835f3446a377c503013dc5fc1a468,16459314,1648491111,28-03-2022 18:11,0xf9dc8bb8aa72bf1ff3b466c7a732642b6320d7a4,0x0eb16919ef15de9ec1d9e4371aa1fb7da4bed75f,,0,0,0,0.00372753,1.668591529,430.15,,,Add To Whitelist,,
0xd7b685ccee9098c5574d320d039c56bffb22b4e2bc260a488218483e4d462740,16459375,1648491294,28-03-2022 18:14,0xf9dc8bb8aa72bf1ff3b466c7a732642b6320d7a4,0x0eb16919ef15de9ec1d9e4371aa1fb7da4bed75f,,0,0,0,0.011111375,4.973895905,430.15,,,Add To Whitelist,,
0xa2212cf1834a1838b3b0eb1f0004a336baeadfd060e63903da6bb33f4478e485,16459523,1648491738,28-03-2022 18:22,0xf9dc8bb8aa72bf1ff3b466c7a732642b6320d7a4,0x0eb16919ef15de9ec1d9e4371aa1fb7da4bed75f,,0,0,0,0.0205434,9.196047576,430.15,,,Add To Whitelist,,
0xb5029d53e9945182b18fcd6b61c3686a3c3c91e66361cf70b85396cc44460d72,16459884,1648492821,28-03-2022 18:40,0xf9dc8bb8aa72bf1ff3b466c7a732642b6320d7a4,0x0eb16919ef15de9ec1d9e4371aa1fb7da4bed75f,,0,0,0,0.00071124,0.318379474,430.15,,,Add To Whitelist,,
0x180c0485bce599ee3c7aa965e8067935ae685c8e59babb97f84c647e29ef92bc,16460152,1648493625,28-03-2022 18:53,0xf9dc8bb8aa72bf1ff3b466c7a732642b6320d7a4,0x0eb16919ef15de9ec1d9e4371aa1fb7da4bed75f,,0,0,0,0.00059188,0.264949163,430.15,,,Add To Whitelist,,
0x1f24ed463a1b5f9ede9581f6022bd4ff267d377284804daa03fc305ddd3f690c,16460278,1648494003,28-03-2022 19:00,0x3efe0180f600c7eab137f775cc7aa86d6670b4f7,0x0eb16919ef15de9ec1d9e4371aa1fb7da4bed75f,,0.2,0,89.528,0.000168,0.07520352,430.15,Error(0),out of gas,Transfer,,
0xbfd812201dc2f8f4276c34ea1db3ebdb9646874b498e8c4633a2f7f666e69c12,16460279,1648494006,28-03-2022 19:00,0x7bb48d1869f0da23ec194fccf2efe1e9eac8e860,0x0eb16919ef15de9ec1d9e4371aa1fb7da4bed75f,,0.2,0,89.528,0.00021046,0.094210314,430.15,Error(0),execution reverted,Transfer,,
0x40785c52d4226f14f1eb3a172e3f04d68404697ca1b8545b59c5447f2d93ba4c,16460282,1648494015,28-03-2022 19:00,0x01a16190acaeea33e06b67440d78a2ed02594e90,0x0eb16919ef15de9ec1d9e4371aa1fb7da4bed75f,,0.2,0,89.528,0.000105,0.0470022,430.15,Error(0),out of gas,Transfer,,
0x075c0cd4fc34cf293cd3f34d1d32056fdab2a962017d529837abaf2cc675075b,16460289,1648494036,28-03-2022 19:00,0xf9dc8bb8aa72bf1ff3b466c7a732642b6320d7a4,0x0eb16919ef15de9ec1d9e4371aa1fb7da4bed75f,,0,0,0,0.00094996,0.425240094,430.15,,,Add To Whitelist,,
0xe73be62a4f88833dc4bea970071d8d041deb7793c78c3101041337166adabc64,16460292,1648494045,28-03-2022 19:00,0x3efe0180f600c7eab137f775cc7aa86d6670b4f7,0x0eb16919ef15de9ec1d9e4371aa1fb7da4bed75f,,0.2,0,89.528,0.000147,0.06580308,430.15,Error(0),out of gas,Transfer,,
0x9222d11ee31c227a5264a2f6c221f1a666fb47b618244775f9c33418c7cd7061,16460338,1648494183,28-03-2022 19:03,0x07c99eebb8fd1e113af1960dcab63c6e76a7c9e6,0x0eb16919ef15de9ec1d9e4371aa1fb7da4bed75f,,0.2,0,89.528,0.000450965,0.201869973,430.15,,,Swap,,
